id,name,category,output
263,Splunk Enterprise Security,security,,
742,Splunk Add-on for Microsoft Windows,vendor,,
833,Splunk Add-on for Unix and Linux,vendor,,
1151,Splunk Supporting Add-on for Active Directory,tool,,
1603,Splunk Dashboard Examples,dashboard,,
1621,Splunk Common Information Model (CIM),cim,,
1724,Splunk App for Lookup File Editing,tool,,
1924,Eventgen,tool,,
2962,Splunk Add-on Builder,tool,,
3186,Splunk Add-on for Apache Web Server,vendor,,
3258,Splunk Add-on for NGINX,vendor,,
3435,Splunk Security Essentials,security,,
3449,Splunk ES Content Update,security,,
4240,InfoSec App for Splunk,security,,
4353,Config Explorer,tool,,
4418,ThreatQuotient App for Splunk,security,,
4617,MITRE ATTACK App for Splunk,security,,
4740,Splunk Connect for Syslog,tool,,
5062,Crypto and Encoding Add-On,tool,,
5262,Stamus Networks App for Splunk,network,,
5329,TheHive/Cortex,tool,,
6843,Splunk App for Anomaly Detection,security,,
7000,Splunk App for Splunk Attack Analyzer,security,,
7066,SA-DetectionInsights,security,,